uid,items
43,"coke,chips,soup,tshirt,cake"
2,"coke,chips,toothpaste,toothbrush,cup"
56,"coke,chips,bread,butter,jam"
14,"coke,chips,pen,tape,eraser"
16,"coke,chips,shampoo,conditioner,towel"
32,"coke,chips,pills,tshirt,pen"
36,"coke,chips,toothpaste,toothbrush,shampoo,conditioner,towel"
97,"coke,chips,bread,butter,knife"
86,"coke,chips,toothpaste,toothbrush,toothpick"
25,"coke,chips,bread,jam,milk"
24,"coke,chips,pen,pencil,eraser"
3,"coke,chips,butter,oil,salt,sugar"
11,"coke,chips,tshirt,cup,jam"
26,"coke,chips,handwash,conditioner,towel"
35,"coke,chips,toothpaste,toothpick,toothbrush"
40,"coke,chips,tape,cup,towel"
26,"coke,chips,butter,oil,bread"
13,"coke,chips,biscuit,jam,bread"
54,"coke,chips,bread,butter"
88,"coke,chips,tshirt,conditioner,shampoo"
12,"toothpaste,toothbrush,cup,handwash,shampoo,conditioner"
64,"toothpaste,toothbrush,cup,handwash,shampoo,conditioner,tshirt"
89,"toothpaste,toothbrush,handwash,shampoo,conditioner,tshirt"
80,"toothpaste,toothbrush,toothpick,shampoo,conditioner"
77,"toothpaste,toothbrush,toothpick,cup,handwash,shampoo,conditioner"
71,"toothpaste,toothbrush,toothpick,handwash,shampoo,conditioner"
45,"toothpaste,toothbrush,toothpick,cup,handwash,shampoo,conditioner,tshirt"
36,"toothpaste,toothbrush,shampoo,conditioner,tshirt"
29,"toothpaste,toothbrush,coke,chips,bread,butter"
48,"toothpaste,toothbrush,coke,butter,pen"
18,"toothpaste,toothbrush,soup,cup,jam"
21,"toothpaste,toothbrush,soup,cup,jam,knife,shampoo"
100,"toothpaste,toothbrush,pen,tape,towel,cup"
11,"toothpaste,toothbrush,pen,tape,towel,cup,tshirt"
42,"toothpaste,toothbrush,toothpick,pen,tape,towel,cup"
39,"toothpaste,toothbrush,shampoo,conditioner,handwash,toothpick"
36,"toothpaste,toothbrush,shampoo,conditioner,handwash"
51,"toothpaste,toothbrush,shampoo,conditioner,handwash,toothpick,towel"
40,"toothpaste,toothbrush,conditioner,handwash,toothpick,cup,towel"
6,"toothpaste,toothbrush,shampoo,conditioner,handwash,toothpick,cup"
83,"bread,butter,jam,milk,cup,bowl,coke,chips"
76,"bread,butter,jam,milk,cup,bowl,coke"
64,"bread,butter,jam,milk,cup,bowl,coke,chips,biscuit"
58,"bread,butter,jam,milk,cup,bowl,chips,biscuit"
93,"bread,butter,jam,milk,cup,bowl,coke,chips,cup"
99,"bread,butter,bowl,cup,milk"
11,"bread,butter,toothpaste,toothbrush,shampoo,conditioner"
34,"bread,butter,toothpaste,toothbrush,shampoo,conditioner,towel"
51,"bread,butter,toothpaste,toothbrush,shampoo,conditioner,cup"
56,"bread,butter,toothpaste,toothbrush,shampoo,conditioner,towel,cup"
72,"bread,butter,toothpaste,toothbrush,toothpick,shampoo,conditioner"
31,"bread,butter,milk,jam,tshirt,towel"
44,"bread,butter,soup,jam,milk,chips,biscuit"
52,"bread,butter,soup,jam,milk,coke,biscuit"
61,"bread,butter,soup,jam,milk,coke,chips,biscuit"
73,"bread,butter,cup,towel,pen,tshirt"
16,"bread,butter,cup,towel,tape,tshirt"
24,"bread,butter,cup,towel,pen,tape,tshirt"
69,"bread,butter,coke,chips,soup,milk,jam,butter,knife"
31,"bread,butter,coke,chips,soup,milk,jam,butter,knife,bowl,cup"
25,"pen,tape,eraser,pencil,ruler,bottle,towel"
97,"pen,tape,eraser,pencil,ruler,bottle,towel,toothpaste"
87,"pen,tape,eraser,pencil,ruler,bottle,towel,toothpaste,toothbrush"
66,"pen,tape,eraser,pencil,ruler,bottle,towel,toothpaste,toothbrush,toothpick"
90,"pen,tape,pencil,bottle,towel,shampoo"
42,"pen,tape,pencil,bottle,towel,shampoo,conditioner"
31,"pen,tape,pencil,towel,shampoo,conditioner,chips"
47,"pen,tape,pencil,towel,shampoo,conditioner,chips,tshirt"
73,"pen,tape,paper,handwash,shampoo"
21,"pen,tape,paper,handwash,shampoo,tissue"
53,"pen,tape,glue,ruler,towel,tissue"
6,"pen,tape,bread,milk,bottle"
70,"pen,tape,cup,bottle,knife"
58,"pen,tape,cup,bottle,knife,fork"
85,"pen,tape,cup,bottle,knife,fork,spoon"
94,"pen,tape,bread,butter,tissue,towel"
17,"pen,tape,bread,butter,tissue,towel,cup"
24,"pen,tape,bread,butter,tissue,chips,bowl"
31,"pen,tape,bread,butter,tissue,coke,chips,cup,bowl,bottle"
55,"pen,tape,bread,butter,tissue,coke,chips,cup,bowl,bottle,shampoo"
33,"shampoo,conditioner,towel,detergent,tissue,handwash"
93,"shampoo,conditioner,towel,detergent,tissue,tape,tshirt"
41,"shampoo,conditioner,towel,detergent,tissue,tshirt"
65,"shampoo,conditioner,towel,detergent,tissue,bleach,toothpaste"
25,"shampoo,conditioner,towel,detergent,tissue,bleach,toothpaste,toothpick"
53,"shampoo,conditioner,towel,detergent,tissue,bleach,toothpaste,toothpick,toothbrush"
54,"shampoo,conditioner,towel,tissue"
84,"shampoo,conditioner,handwash,bleach"
98,"shampoo,conditioner,egg,coke,chips,bottle,knife"
12,"shampoo,conditioner,bread,coke,butter,chips,bottle,cup,bowl"
1,"shampoo,conditioner,hangar,bleach,handwash,towel"
81,"shampoo,conditioner,hangar,handwash,towel,tissue,bodywash"
65,"shampoo,conditioner,hangar,bleach,handwash,towel"
41,"shampoo,conditioner,tshirt,detergent,toothpaste"
67,"shampoo,conditioner,tshirt,detergent,toothpick"
82,"shampoo,conditioner,cup,tissue,butter"
56,"shampoo,conditioner,bread,knife,tape,glue"
71,"shampoo,conditioner,handwash,bleach,detergent"
80,"shampoo,conditioner,tissue,handwash,toothpaste"
9,"shampoo,conditioner,cup,toothpaste,toothpick,bottle,coke,butter,tshirt"
